                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0706,                 4.1753,                0.96685,                0.14115,                0.56043,                0.17365,                0.13585,                0.80378,                 2.2266,                0.90529,             0.00023688,             0.00023688,             0.00023688
                      2,                0.89455,                 3.2942,                0.93798,                0.19438,                0.64066,                0.24391,                0.19304,                0.77198,                 2.0036,                0.90002,             0.00045137,             0.00045137,             0.00045137
                      3,                0.88128,                 2.9004,                0.93717,                0.30512,                 0.7799,                0.44848,                0.35519,                 0.7457,                 1.6773,                0.90026,              0.0006423,              0.0006423,              0.0006423
                      4,                 0.8473,                 2.5567,                 0.9364,                0.39166,                0.71949,                0.47693,                 0.3877,                0.72383,                 1.5222,                 0.8876,             0.00060797,             0.00060797,             0.00060797
                      5,                0.81379,                 2.3417,                0.92908,                0.41202,                0.78592,                0.52734,                0.43787,                  0.664,                 1.3978,                0.89173,             0.00057263,             0.00057263,             0.00057263
                      6,                 0.7908,                 2.0894,                 0.9276,                0.45403,                0.79602,                0.59619,                0.49803,                0.63539,                 1.3452,                0.88218,             0.00053728,             0.00053728,             0.00053728
                      7,                0.75261,                 1.9408,                0.91831,                0.45152,                0.89303,                 0.5893,                0.49046,                0.62503,                 1.2937,                0.87731,             0.00050194,             0.00050194,             0.00050194
                      8,                0.74476,                  1.752,                0.93229,                0.52593,                0.89463,                0.72094,                 0.6038,                0.63791,                 1.0652,                0.88133,              0.0004666,              0.0004666,              0.0004666
                      9,                0.73167,                  1.665,                0.91681,                0.55685,                0.92617,                0.72139,                0.60894,                0.61354,                 1.0189,                0.87125,             0.00043126,             0.00043126,             0.00043126
                     10,                0.71355,                 1.6524,                0.90728,                0.54507,                0.87588,                 0.6815,                0.57639,                0.60807,                 1.1275,                0.87366,             0.00039591,             0.00039591,             0.00039591
                     11,                0.67517,                 1.6946,                0.92026,                0.57506,                0.86393,                  0.706,                0.60039,                0.60216,                 1.1185,                0.86704,             0.00036057,             0.00036057,             0.00036057
                     12,                0.65604,                 1.5571,                0.91254,                0.67349,                0.86371,                0.78641,                0.66964,                0.58815,                0.91449,                0.86289,             0.00032523,             0.00032523,             0.00032523
                     13,                 0.6507,                 1.4472,                 0.9164,                0.70843,                0.89887,                0.81003,                0.69409,                0.59207,                0.85725,                0.86397,             0.00028988,             0.00028988,             0.00028988
                     14,                 0.6439,                 1.3381,                0.91372,                0.72863,                 0.8753,                0.83107,                0.71148,                0.58992,                0.83061,                0.86325,             0.00025454,             0.00025454,             0.00025454
                     15,                0.64256,                 1.2672,                0.90619,                0.78934,                0.89414,                0.88779,                 0.7563,                0.57923,                0.75407,                0.86101,              0.0002192,              0.0002192,              0.0002192
                     16,                0.62632,                  1.212,                0.89787,                0.75996,                0.90301,                0.86902,                0.75025,                0.57556,                0.84202,                0.85725,             0.00018385,             0.00018385,             0.00018385
                     17,                0.61678,                 1.1639,                0.90298,                0.85504,                0.96387,                 0.9516,                0.82291,                0.58409,                0.63902,                 0.8585,             0.00014851,             0.00014851,             0.00014851
                     18,                0.61705,                 1.0827,                0.89125,                0.81601,                0.92541,                0.91938,                0.79408,                0.56857,                 0.7052,                 0.8566,             0.00011317,             0.00011317,             0.00011317
                     19,                0.60178,                 1.0284,                0.88242,                0.93615,                0.95621,                0.96597,                0.84022,                0.55762,                0.54088,                0.85042,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                0.60057,                0.97958,                0.89677,                0.94877,                0.96202,                0.97195,                0.84471,                0.55422,                0.53612,                 0.8514,             4.2483e-05,             4.2483e-05,             4.2483e-05
